[종결어미]

# 종결어미 생성용 파일

# [어미변경]은 어미쪽을 변경해야하는지에 대한 플래그
# 예를 들어, '는다'는 어간이 받침이 없거나 어간 말음이 'ㄹ'이면
# 'ㄴ다'이다. 또 '아'는 어간 마지막 글자의 모음이 음성모음이라면
# '어'이다. 그러나 현재시제가 아닌 '어'는 어간 마지막 글자의
# 음,양 모음에 상관없이 그냥 '어'이다.
# 예를 들면 ['먹어', '살아'], ['먹었어', '살았어']

# 시제에 대해...
# 시제에 대한 정보는 종결어미가 아닌 선어말어미에서 처리된다.
# 종결어미에서 쓰는 시제정보는 한마디로, '-었-'이 붙어있나를
# 표시한다고 말할 수 있다.

# ==========================================================================
#  품사속성  시제     법      상대높임  어미변경   종결어미
# ==========================================================================
   ADJNAT    PRESNT   EXCLM   HIGHR2    0          군요
   ADJNAT    PRESNT   EXCLM   HIGHR3    1          습니다그려
#  ..........................................................................
   ADJNAT    OTHERS   EXCLM   LOWER1    0          구나
   ADJNAT    OTHERS   EXCLM   LOWER2    0          군
   ADJNAT    OTHERS   EXCLM   LOWER3    0          구려
   ADJNAT    OTHERS   EXCLM   HIGHR1    0          소
   ADJNAT    OTHERS   EXCLM   HIGHR2    0          군요
   ADJNAT    OTHERS   EXCLM   HIGHR3    0          습니다그려
#  ..........................................................................
   COPULA    PRESNT   DECLM   LOWER1    0          다
   COPULA    PRESNT   DECLM   LOWER2    0          야
   COPULA    PRESNT   DECLM   LOWER3    0          ㄹ세
   COPULA    PRESNT   DECLM   HIGHR1    0          오
   COPULA    PRESNT   DECLM   HIGHR2    0          요
   COPULA    PRESNT   DECLM   HIGHR3    0          ㅂ니다
#  ..........................................................................
   COPULA    OTHERS   DECLM   LOWER1    0          다
   COPULA    OTHERS   DECLM   LOWER2    0          어
   COPULA    OTHERS   DECLM   LOWER3    0          네
   COPULA    OTHERS   DECLM   HIGHR1    0          소
   COPULA    OTHERS   DECLM   HIGHR2    0          어요
   COPULA    OTHERS   DECLM   HIGHR3    0          ㅂ니다
#  ..........................................................................
   COPULA    PRESNT   IRROM   LOWER1    0          냐
   COPULA    PRESNT   IRROM   LOWER2    0          야
   COPULA    PRESNT   IRROM   LOWER3    0          ㄴ가
   COPULA    PRESNT   IRROM   HIGHR1    0          오
   COPULA    PRESNT   IRROM   HIGHR2    0          요
   COPULA    PRESNT   IRROM   HIGHR3    0          ㅂ니까
#  ..............................................................................
   COPULA    OTHERS   IRROM   LOWER1    0          냐
   COPULA    OTHERS   IRROM   LOWER2    0          어
   COPULA    OTHERS   IRROM   LOWER3    0          을까
   COPULA    OTHERS   IRROM   HIGHR1    0          소
   COPULA    OTHERS   IRROM   HIGHR2    0          어요
   COPULA    OTHERS   IRROM   HIGHR3    0          습니까
#  ..........................................................................
   COPULA    PRESNT   EXCLM   LOWER1    0          로구나
   COPULA    PRESNT   EXCLM   LOWER2    0          로군
